x,y,z,visible_cameras,nx,ny,nz
-23.4350,-30.5557,76.4905,6.0000,0.2782,0.0009,-0.9605
36.7684,23.6041,71.0499,7.0000,-0.5025,0.0017,-0.8646
58.4698,-32.4110,-54.6011,6.0000,-0.7248,-0.0004,0.6890
-66.6758,35.7631,44.2079,7.0000,0.8121,0.0006,-0.5836
-53.6103,-58.8530,59.3796,6.0000,0.6518,-0.0037,-0.7584
75.7633,-17.2515,-25.6891,6.0000,-0.9605,0.0001,0.2781
59.6808,0.8956,-53.2748,6.0000,-0.7583,0.0010,0.6519
-3.9739,-35.6002,-79.9012,7.0000,0.0829,0.0007,0.9966
-79.9899,-37.8159,-1.2712,7.0000,0.9999,0.0021,-0.0134
-41.5847,-41.9760,-68.3426,7.0000,0.5718,-0.0005,0.8204
24.1963,28.4276,-76.2531,6.0000,-0.3082,0.0004,0.9513
64.9577,-21.2145,46.6957,7.0000,-0.7978,-0.0009,-0.6029
-62.2446,-41.2358,-50.2555,6.0000,0.7478,0.0007,0.6640
61.2799,8.7213,-51.4274,6.0000,-0.7589,-0.0007,0.6513
44.1591,-19.4371,66.7081,7.0000,-0.6041,-0.0012,-0.7969
-0.9667,-32.0926,79.9942,7.0000,-0.0128,0.0011,-0.9999
1.7080,-49.6111,79.9818,7.0000,-0.0133,-0.0008,-0.9999
-57.2814,34.1617,55.8466,6.0000,0.7356,-0.0006,-0.6775
64.1733,-20.6935,47.7681,7.0000,-0.7978,-0.0009,-0.6029
77.9558,59.5442,17.9694,6.0000,-0.9781,0.0018,-0.2081
-43.7180,5.9056,66.9980,7.0000,0.5533,-0.0021,-0.8330
37.3497,-38.5434,-70.7460,7.0000,-0.5037,0.0004,0.8639
-54.8105,3.1342,58.2736,6.0000,0.6893,0.0006,-0.7245
-79.8096,3.2570,5.5155,7.0000,0.9936,0.0007,-0.1127
43.7510,40.0077,66.9765,7.0000,-0.5665,0.0001,-0.8241
-46.9152,-55.0442,-64.7994,7.0000,0.5718,-0.0003,0.8204
26.0272,12.8931,-75.6478,6.0000,-0.3091,-0.0002,0.9510
